ID	LING. ISSUE	QUESTION	SOURCE	REFERENCE	System1	System2	System3	System4	System1 id	System2 id	System3 id	System4 id
S4a1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	The cat and the dog [should] be [watched].	Le chat et le chien [devraient] être [surveillés].	Le chat et le chien doit être regardée.	Le chat et le chien doit être regardée.	Le chat et le chien doivent être regardés.	Le chat et le chien doivent être surveillés.	NRC PBMT2	NRC PBMT	NRC's NMT	Google's NMT (March 2017)
S4a2 	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	My father and my brother [will] be [happy] tomorrow.	Mon père et mon frère [seront] [heureux] demain.	Mon père et mon frère se fera un plaisir de demain.	Mon père et mon frère seront heureux demain.	Mon père et mon frère seront heureux demain.	Mon père et mon frère sera heureux de demain.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S4a3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET masculine singular yields masculine plural).	My book and my pencil [could] be [stolen].	Mon livre et mon crayon [pourraient] être [volés].	Mon livre et mon crayon pourraient être volés.	Mon livre et mon crayon pourraient être volés.	Mon livre et mon crayon pourrait être volé.	Mon livre et mon crayon pourrait être volé.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT	NRC PBMT2
S4b1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	The cow and the hen [must] be [fed].	La vache et la poule [doivent] être [nourries].	La vache et la poule doivent être nourries.	la vache et la poule doivent être alimentées.	La vache et de la poule doivent être nourris.	La vache et de la poule doivent être nourris.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S4b2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	My mother and my sister [will be happy] tomorrow.	Ma mère et ma sœur [seront heureuses] demain.	Ma mère et ma sœur seront heureuses demain.	Ma mère et ma soeur se fera un plaisir de demain.	Ma mère et ma sœur seront heureuses demain.	Ma mère et ma sœur sera heureux de demain.	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT
S4b3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Feminine singular ET feminine singular yields feminine plural).	My shoes and my socks [will] be [found].	Mes chaussures et mes chaussettes [seront] [retrouvées].	Mes chaussures et mes chaussettes sera trouvé .	Mes chaussures et mes chaussettes seront trouvées.	Mes chaussures et mes chaussettes seront trouvées.	Mes chaussures et mes chaussettes sera trouvé .	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S4c1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	The dog and the cow [are] [nervous].	Le chien et la vache [sont] [nerveux].	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	Le chien et la vache sont nerveux.	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT
S4c2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	My father and my mother  will  be happy tomorrow.	Mon père et ma mère [seront] [heureux] demain.	Mon père et ma mère seront heureux demain.	Mon père et ma mère se fera un plaisir de demain.	Mon père et ma mère se fera un plaisir de demain.	Mon père et ma mère seront heureux demain.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S4c3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Masculine singular ET feminine singular yields masculine plural.)	My refrigerator and my kitchen table [were] [stolen].	Mon réfrigérateur et ma table de cuisine [ont] été [volés].	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Mon réfrigérateur et ma table de cuisine ont été volés.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S4d1	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Smallest coordinated grammatical person wins.)	Paul and I [could] easily be [convinced] to join you.	Paul et moi [pourrions] facilement être [convaincus] de se joindre à vous.	Paul et moi avons facilement pu être convaincus de vous rejoindre.	Paul et je pourrais facilement être convaincus de se joindre à vous.	Paul et je pourrais facilement être persuadée de se joindre à vous.	Paul et moi pourrait facilement être convaincu de vous rejoindre.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S4d2	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Smallest coordinated grammatical person wins.)	You and he [could] be [surprised] by her findings.	Vous et lui [pourriez]  être [surpris] par ses découvertes.	Vous et lui pourrait être surpris par ses découvertes.	Vous et qu'il pouvait être surpris par ses conclusions.	Vous et qu'il pouvait être surpris par ses conclusions.	Vous et lui pourriez être surpris par ses conclusions.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S4d3	Morpho-Syn 4: S-V agreement, feature calculus on coordinated source 	Do the marked verbs/adjective agree correctly with their subject? (Smallest coordinated grammatical person wins.)	We and they [are] on different courses.	Nous et eux [sommes] sur des trajectoires différentes.	Nous et ils sont sur des parcours différents.	Nous et ils sont en cours de différents.	Nous et nous sommes sur des parcours différents.	Nous et ils sont en cours différents.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S5a	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The woman who [saw] a mouse in the corridor is charming.	La femme qui a [vu] une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	La femme qui a vu une souris dans le couloir est charmante.	NRC PBMT2	NRC PBMT	NRC's NMT	Google's NMT (March 2017)
S5b	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The woman that your brother [saw] in the corridor is charming.	La femme que votre frère a [vue] dans le couloir est charmante.	La femme que ton frère a vu dans le couloir est charmante.	La femme que ton frère a vu dans le couloir est charmante.	La femme que votre frère a vue dans le couloir est charmante.	La femme que votre frère a vu dans le corridor est charmante.	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT
S5c	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	The house that John has [visited] is crumbling.	La maison que John a [visitée] tombe en ruines.	La maison que John a visité est en ruine.	La maison que John a visitée est en train de s' effondrer.	La maison que John a visité s'effritent.	La maison que John a visité est en train de s'écrouler.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S5d	Morpho-Syn 5: S-V agreement, past participles	Are the agreement marks of the flagged participles the correct ones? (Past participle placed after auxiliary AVOIR agrees with verb object iff object precedes auxiliary. Otherwise participle is in masculine singular form).	John sold the car that he had [won] in a lottery.	John a vendu la voiture qu' il avait [gagnée] dans une loterie.	John a vendu la voiture qu' il avait gagnée dans une loterie.	John a vendu la voiture qu'il avait gagné à la loterie.	John a vendu la voiture qu'il avait gagné à la loterie.	John a vendu la voiture qu' il avait gagnée dans une loterie.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S6a	Morpho-Syn 6: Subjunctive mood	Ia the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	He will come provided that you [come] too.	Il viendra à condition que vous [veniez] aussi.	Il viendra à condition que vous venez aussi.	Il viendra lui aussi que vous le faites.	Il viendra à condition que vous venez aussi.	Il viendra à condition que vous venez de trop.	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S6b	Morpho-Syn 6: Subjunctive mood	Ia the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	It is unfortunate that he is not [coming] either.	Il est malheureux qu'il ne [vienne] pas non plus.	Il est regrettable qu'il n'est pas non plus à venir.	Il est malheureux qu'il ne vienne pas non plus.	Il est regrettable qu'il n'est pas non plus à venir.	Il est regrettable qu' il ne soit pas non plus.	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S6c	Morpho-Syn 6: Subjunctive mood	Ia the flagged verb in the correct mood? (Certain triggering verbs, adjectives or subordinate conjunctions, induce the subjunctive mood in the subordinate clause that they govern). 	I requested that families not [be] separated.	J'ai demandé que les familles ne [soient] pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	J'ai demandé que les familles ne soient pas séparées.	NRC PBMT	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2
S7a	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preseved in the French translation? (Argument switch).	[Mary] sorely misses [Jim].	[Jim] manque cruellement [à Mary].	Marie manque cruellement de Jim.	Mary manque cruellement à Jim.	Marie manque cruellement de Jim.	Mary a lamentablement manqué de Jim .	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S7b	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preseved in the French translation? (Argument switch).	[My sister] is really missing [New York.]	[New York] manque beaucoup [à ma sœur].	Ma sœur manque vraiment New York.	Ma sœur n'est vraiment pas New York.	Ma sœur est vraiment manquante à New York.	Ma sœur est vraiment absent de New York.	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT	NRC PBMT
S7c	Lex-Syn 1: Argument switch	Are the experiencer and the object of the "missing" situation correctly preseved in the French translation? (Argument switch).	What [he] misses most is [his dog].	Ce qui [lui] manque le plus, c'est [son chien].	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	Ce qu'il manque le plus, c'est son chien.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S8a	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John gave [his wonderful wife] a nice present.	John a donné un beau présent [à sa merveilleuse épouse].	John a donné à sa merveilleuse femme un beau cadeau.	John a donné sa merveilleuse femme un beau cadeau.	John a donné à son épouse merveilleuse un présent gentil.	John a donné sa merveilleuse femme un beau cadeau.	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT
S8b	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John told [the kids] a nice story.	John a raconté une belle histoire [aux enfants].	John a dit aux enfants une belle histoire.	John a raconté aux enfants une belle histoire.	John a dit aux enfants une belle histoire.	John a raconté aux enfants une belle histoire.	NRC's NMT	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)
S8c	Lex-Syn 2: Double-object verbs	Are "gift" and "recipient" arguments correctly rendered in French? (English double-object constructions)	John sent [his mother] a nice postcard.	John a envoyé une belle carte postale [à sa mère].	John envoya à sa mère une belle carte postale.	John a envoyé sa mère une carte postale de nice.	John a envoyé sa mère une carte postale de nice.	John a envoyé sa mère une belle carte postale.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT	NRC PBMT2
S9a	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	John [failed to] see the relevance of this point.	John [n'a pas] vu la pertinence de ce point.	John a omis de voir la pertinence de ce point.	John n'a pas su voir la pertinence de ce point.	John n'a pas vu la pertinence de ce point.	John a omis de voir la pertinence de ce point.	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S9b	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	He failed to respond.	Il [n'a pas répondu].	Il n'a pas réussi à répondre.	Il n'a pas répondu.	Il n'a pas répondu.	Il n'a pas répondu.	NRC PBMT	NRC's NMT	Google's NMT (March 2017)	NRC PBMT2
S9c	Lex-Syn 3: Fail to	Is the meaning of "fail to" correctly rendered in the French translation? 	Those who fail to comply with this requirement will  be penalized.	Ceux qui [ne] se conforment [pas] à cette exigence seront pénalisés.	Ceux qui ne se conforment pas à cette obligation seront pénalisés.	Ceux qui ne se conforment pas à cette exigence sera pénalisé.	Ceux qui ne se conforment pas à cette obligation seront pénalisés.	Ceux qui ne respectent pas cette exigence seront pénalisés.	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S10a	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument need to be rephrased in French).	John would like to [swim across] the river.	John aimerait [traverser] la rivière [à la nage].	John voudrait se baigner dans la rivière.	John aimerait nager à travers la rivière.	John aimerait nager dans la rivière.	John aimerait nager à travers la rivière.	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT	NRC's NMT
S10b	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument need to be rephrased in French).	They [ran into] the room.	Ils [sont entrés] dans la chambre [à la course].	Ils coururent dans la pièce.	Ils ont couru dans la chambre.	Ils ont couru dans la pièce.	Ils ont couru dans la pièce.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S10c	Lex-Syn 4: Manner-of-movement verbs	Is the movement action expressed in the English source correctly rendered in French? (Manner-of-movement verbs with path argument need to be rephrased in French).	The man [ran out of] the park.	L'homme [est sorti du] parc [en courant].	L'homme a manqué du parc.	L'homme a manqué du parc.	L'homme sortit du parc.	L' homme s' enfuit du parc.	NRC PBMT2	NRC PBMT	Google's NMT (March 2017)	NRC's NMT
S10d	Lex-Syn 4: Manner-of-movement verbs	Hard example featuring spontaneous noun-to-verb derivation ("nonce verb").	John [guitared his way] to San Francisco.	John [s'est rendu] jusqu'à San Francisco [en jouant de la guitare].	John guitared son chemin à San Francisco.	John a guité son chemin à San Francisco.	John guitared sa voie à San Francisco.	John guitared sa route à San Francisco.	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT
S11a	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] that this is a fact.	Paul [sait que] c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	Paul sait que c'est un fait.	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	NRC PBMT
S11b	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] this story.	Paul [connaît] cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	Paul connaît cette histoire.	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)	NRC PBMT
S11c	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	Paul [knows] this story is hard to believe.	Paul [sait que] cette histoire est difficile à croire.	Paul sait que cette histoire est difficile à croire.	Paul connaît cette histoire est difficile à croire.	Paul connaît cette histoire est difficile à croire.	Paul sait que cette histoire est difficile à croire.	Google's NMT (March 2017)	NRC PBMT2	NRC PBMT	NRC's NMT
S11d	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	He [knows] my sister will not take it.	Il [sait que] ma soeur ne le prendra pas.	Il sait que ma soeur ne prendra pas.	Il sait que ma soeur ne le prendra pas.	Il sait que ma soeur ne le prendra pas.	Il sait que ma soeur ne prendra pas.	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT	NRC PBMT
S11e	Lex-Syn 5: Overlapping subcat frames	Is the French verb for "know" correctly chosen? (Choice between "Savoir"/"connaître"  depends on syntactic nature of its object)	My sister [knows] your son is reliable.	Ma sœur [sait que] votre fils est fiable.	Ma sœur sait que votre fils est fiable.	Ma soeur connaît votre fils est fiable.	Ma sœur sait que votre fils est fiable.	Ma soeur connaît votre fils est fiable.	NRC's NMT	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT
S12a	Lex-Syn 6: NP to VP	Is the English "NP to VP" complement correctly rendred in the French translation? (Sometimes one needs to translate this structure as a finite clause).	John believes [Bill to be dishonest].	John croit [que Bill est malhonnête].	John estime que le projet de loi soit malhonnête.	John estime que le projet de loi d'être malhonnête.	John croit que le projet de loi est malhonnête.	John croit que Bill est malhonnête.	NRC PBMT	NRC PBMT2	NRC's NMT	Google's NMT (March 2017)
S12b	Lex-Syn 6: NP to VP	Is the English "NP to VP" complement correctly rendred in the French translation? (Sometimes one needs to translate this structure as a finite clause).	He liked [his father to tell him stories].	Il aimait [que son père lui raconte des histoires].	Il aimait son père à lui raconter des histoires.	Il aimait son père pour lui raconter des histoires.	Il aimait son père pour lui raconter des histoires.	Il aimait son père pour lui raconter des histoires.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S12c	Lex-Syn 6: NP to VP	Is the English "NP to VP" complement correctly rendred in the French translation? (Sometimes one needs to translate this structure as a finite clause).	She wanted [her mother to let her go].	Elle voulait [que sa mère la laisse partir].	Elle voulait que sa mère la laisse partir.	Elle voulait que sa mère de lui laisser aller.	Elle voulait que sa mère la laisse faire.	Elle voulait que sa mère de la laisser aller.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S13a	Lex-Syn 7: Factitives	Is the English verb correctly rendered in the French translation? (Agentive use of some French verbs require embedding under "faire").	John [cooked] a big chicken.	John a [fait cuire] un gros poulet.	John a fait cuire un gros poulet.	John cuit un gros poulet.	Un gros poulet cuit john.	John cuit un gros poulet.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S13b	Lex-Syn 7: Factitives	Is the English verb correctly rendered in the French translation? (Agentive use of some French verbs require embedding under "faire").	John [melted] a lot of ice.	John a [fait fondre] beaucoup de glace.	John a fondu beaucoup de glace.	John fondu a lot of ice.	John a fondu beaucoup de glace.	John a fondu beaucoup de glace.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
S13c	Lex-Syn 7: Factitives	Is the English verb correctly rendered in the French translation? (Agentive use of some French verbs require embedding under "faire").	She likes to [grow] flowers.	Elle aime [faire pousser] des fleurs.	Elle aime faire pousser des fleurs.	Elle aime à cultiver des fleurs.	Elle aime à cultiver des fleurs.	Elle aime à se développer des fleurs.	Google's NMT (March 2017)	NRC PBMT2	NRC's NMT	NRC PBMT
S14a	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Use the meat knife.	Utilisez le couteau [à] viande.	Utilisez le couteau de viande.	Utilisez le couteau de viande.	Utilisez le couteau à viande.	Utilisez le couteau à viande.	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)	NRC's NMT
S14b	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Use the butter knife.	Utilisez le couteau [à] beurre.	Utilisez le couteau au beurre.	Utilisez le couteau à beurre.	Utilisez le couteau à beurre.	Utilisez le couteau à beurre.	NRC's NMT	NRC PBMT	NRC PBMT2	Google's NMT (March 2017)
S14c	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Use the steak knife.	Utilisez le couteau [à] steak.	Utilisez le couteau de steak.	Utilisez le couteau à steak.	Utilisez le couteau à viande.	Utilisez le steak  couteau.	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2	NRC PBMT
S14d	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the water filter.	Nettoyez le filtre [à] eau.	Nettoyez le filtre à eau.	Nettoyez le filtre à eau.	Nettoyez le filtre à eau.	Nettoyez le filtre à eau.	NRC's NMT	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2
S14e	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the juice filter.	Nettoyez le filtre [à] jus.	Nettoyez le filtre à jus.	Nettoyez le filtre de jus.	Nettoyez le filtre de jus.	Nettoyez le filtre de jus.	Google's NMT (March 2017)	NRC PBMT	NRC PBMT2	NRC's NMT
S14f	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the tea filter.	Nettoyez le filtre [à] thé.	Nettoyez le filtre de thé.	Nettoyez le filtre à thé.	Nettoyez le filtre à thé.	Nettoyez le filtre à thé.	NRC's NMT	NRC PBMT	Google's NMT (March 2017)	NRC PBMT2
S14g	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the cloth filter.	Nettoyez le filtre [en] tissu.	Nettoyez le filtre en tissu.	Nettoyez le filtre en tissu.	Nettoyez le filtre en tissu.	Nettoyez le filtre en tissu.	NRC PBMT	Google's NMT (March 2017)	NRC's NMT	NRC PBMT2
S14h	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the metal filter. 	Nettoyez le filtre [en] métal.	Nettoyez le filtre en métal.	Nettoyez le filtre métallique.	Nettoyez le filtre en métal.	Nettoyez le filtre en métal.	NRC PBMT2	Google's NMT (March 2017)	NRC PBMT	NRC's NMT
S14i	Lex-Syn 8: Noun Compounds	Is the English nominal compound rendered with the right preposition in the French translation?	Clean the paper filter.	Nettoyez le filtre [en] papier.	Nettoyez le filtre à papier.	Nettoyez le filtre en papier.	Nettoyez le filtre en papier.	Nettoyer le filtre à papier.	Google's NMT (March 2017)	NRC PBMT	NRC's NMT	NRC PBMT2
